Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1902000599,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,17,17.0,320,302.91,13.0,2017
1902000599,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,48,65.0,1917,431.83,29.0,2017
1902000599,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,20,20.4,280,310.98,18.0,2017
1902000599,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,30,30.0,374,610.65,24.0,2017
1902000599,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,12,14.0,359,97.54,,2017
1902000698,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,12,16.0,460,265.5,,2017
1902000698,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,14,14.0,179,178.47,12.0,2017
1902023146,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,75,90.0,2700,764.74,31.0,2017
1902023146,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,61,61.0,803,804.77,46.0,2017
1902023146,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,19,19.0,305,573.21,14.0,2017
1902063225,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,16,17.0,510,117.88,12.0,2017
1902063225,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,101,101.0,963,1040.09,53.0,2017
1902063225,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,27,27.0,315,463.01,14.0,2017
1902095664,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,21,21.0,234,55.81,11.0,2017
1902095664,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,49,62.0,1830,368.92,31.0,2017
1902095664,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,31,31.0,277,257.68,24.0,2017
1902095664,Neurosurgery,Meloxicam,Meloxicam,NSAID,35,35.0,1050,108.84,15.0,2017
1902095664,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,44,44.0,413,905.89,37.0,2017
1902122203,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,19,22.0,660,153.24,11.0,2017
1902122203,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,19,19.0,204,166.13,17.0,2017
1902122203,Neurosurgery,Meloxicam,Meloxicam,NSAID,25,25.0,750,76.88,16.0,2017
1902122203,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,36,36.0,432,544.59,26.0,2017
1902800733,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,11,11.0,207,116.76,,2017
1902800733,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,48,63.0,1875,1278.49,12.0,2017
1902800733,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,20,20.3,339,326.79,16.0,2017
1902800733,Neurosurgery,Meloxicam,Meloxicam,NSAID,22,22.0,660,130.9,11.0,2017
1902800733,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,23,23.0,316,453.22,19.0,2017
1902800733,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,16,16.0,168,92.18,11.0,2017
1902845100,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,11,11.0,117,98.38,,2017
1902845100,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,18,18.0,343,423.52,12.0,2017
1902854482,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,36,45.6,1367,368.06,21.0,2017
1902854482,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,32,32.0,282,428.09,26.0,2017
1902856503,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,20,22.7,680,362.84,,2017
1902856503,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,56,57.3,1410,2442.56,35.0,2017
1902856503,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,31,31.0,831,292.36,18.0,2017
1902856503,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,36,36.6,807,1882.66,24.0,2017
1902867096,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,15,15.0,450,97.16,,2017
1902867096,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,19,19.0,268,434.18,15.0,2017
1902867096,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,26,26.3,559,659.46,14.0,2017
1902878887,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,12,12.0,151,159.68,,2017
1902878887,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,13,13.0,113,459.91,12.0,2017
1902885098,Neurosurgery,Codeine/Butalbital/Asa/Caffein,Butalbital Compound-Codeine,Opioid,33,33.0,254,1580.95,,2017
1902885098,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,27,27.0,675,259.3,11.0,2017
