Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1710151980,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,18,18.0,361,241.56,16.0,2020
1710151980,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,13,13.0,99,198.1,12.0,2020
1710905393,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,16,16.0,123,153.06,14.0,2020
1710905393,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,54,102.2,3066,608.63,23.0,2020
1710905393,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,55,55.0,686,968.18,27.0,2020
1710905393,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,23,23.0,316,169.89,,2020
1710905393,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,14,14.0,149,73.45,11.0,2020
1710927694,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,15,19.0,454,154.51,,2020
1710927694,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,215,229.5,5455,2188.54,98.0,2020
1710927694,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,73,73.0,1220,788.37,46.0,2020
1710927694,Neurosurgery,Meloxicam,Meloxicam,NSAID,14,15.0,370,69.31,12.0,2020
1710927694,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,81,82.0,1594,593.12,55.0,2020
1710927694,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,132,133.0,1868,1788.49,75.0,2020
1710927694,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,27,28.0,750,2535.17,,2020
1710927694,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,20,20.0,341,110.38,,2020
1710931662,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,33,45.0,1350,409.41,15.0,2020
1710931662,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,27,27.0,290,186.24,15.0,2020
1710931662,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,14,14.0,116,47.13,11.0,2020
1710935887,Neurosurgery,Celecoxib,Celecoxib,NSAID,118,143.5,2822,4833.72,86.0,2020
1710935887,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,189,274.0,8116,2077.91,83.0,2020
1710935887,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,79,79.0,480,815.9,65.0,2020
1710935887,Neurosurgery,Meloxicam,Meloxicam,NSAID,20,35.5,1042,76.58,11.0,2020
1710935887,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,32,32.0,232,527.41,23.0,2020
1710935887,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,18,26.3,774,886.84,11.0,2020
1710935887,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,28,28.0,309,155.11,21.0,2020
1710939889,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,26,26.0,281,228.39,16.0,2020
1710939889,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,46,55.0,1575,776.17,17.0,2020
1710939889,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,73,73.0,1201,1330.02,60.0,2020
1710939889,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,52,54.0,894,504.79,35.0,2020
1710939889,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,13,13.0,350,232.46,11.0,2020
1710939889,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,159,159.0,2207,3124.23,109.0,2020
1710939889,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,19,19.0,570,341.41,,2020
1710939889,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,19,19.0,366,427.96,,2020
1710939889,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,55,55.0,913,283.48,24.0,2020
1710945415,Neurosurgery,Diclofenac Sodium,Diclofenac Sodium,NSAID,34,55.0,1650,653.03,14.0,2020
1710945415,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,11,17.0,486,306.84,,2020
1710945415,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,15,15.0,250,31.08,,2020
1710961347,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,116,125.2,3193,1351.79,66.0,2020
1710961347,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,24,24.0,169,301.58,11.0,2020
1710961347,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,37,37.0,265,310.02,17.0,2020
1710963038,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,34,36.0,1080,1341.23,,2020
1710963038,Neurosurgery,Carisoprodol,Carisoprodol,Muscle Relaxant,29,29.0,855,250.52,,2020
1710963038,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,55,55.0,1570,725.61,14.0,2020
1710963038,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,56,64.0,1920,862.01,15.0,2020
1710963038,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,194,194.0,5256,6501.65,38.0,2020
1710963038,Neurosurgery,Meloxicam,Meloxicam,NSAID,20,26.0,780,103.83,,2020
1710963038,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,58,58.0,1671,1498.16,,2020
1710963038,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,99,99.0,2878,4120.07,18.0,2020
1710963038,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,25,25.0,750,885.06,,2020
1710963038,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,20,20.0,592,210.14,,2020
1710963038,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,17,17.0,265,95.03,,2020
1710974563,Neurosurgery,Diclofenac Sodium,Diclofenac Sodium,NSAID,13,17.0,500,221.64,,2020
1710974563,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,37,41.0,1207,581.82,15.0,2020
1710974563,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,19,19.0,156,73.04,11.0,2020
1710979174,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,18,18.0,209,91.35,14.0,2020
1710979174,Neurosurgery,Fentanyl,Fentanyl,Opioid,26,26.0,735,1148.64,,2020
1710979174,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,35,37.7,1114,354.35,17.0,2020
1710979174,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,72,72.0,977,727.56,24.0,2020
1710979174,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,66,66.0,789,1491.35,37.0,2020
1710979174,Neurosurgery,Oxycodone Hcl,Oxycontin,Opioid,12,12.0,360,13911.58,,2020
1710979174,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,16,16.0,184,70.35,11.0,2020
1710980545,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,22,22.0,224,138.8,11.0,2020
1710980545,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,14,14.0,420,211.61,,2020
1710980545,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,69,69.0,488,518.91,30.0,2020
1710980545,Neurosurgery,Meloxicam,Meloxicam,NSAID,49,129.0,3870,430.26,24.0,2020
1710980545,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,13,13.0,120,68.74,,2020
1710993381,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,26,26.0,246,271.33,14.0,2020
1710997135,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,16,16.0,480,365.09,,2020
1710997135,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,21,24.1,699,117.61,,2020
1710997135,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,48,48.0,429,407.82,37.0,2020
1710997135,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,52,52.0,780,360.61,22.0,2020
1710997135,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,59,59.0,590,806.07,47.0,2020
1720030273,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,96,96.0,655,758.94,73.0,2020
1720030273,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,18,18.0,326,166.74,15.0,2020
1720030273,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,15,15.0,148,40.05,13.0,2020
1720044415,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,52,58.0,1692,1120.44,16.0,2020
