Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Drug_Category,Year
1003015967,Neurosurgery,Baclofen,11,11.0,330,322.41,,Muscle Relaxant,2015
1003018748,Neurosurgery,Acetaminophen With Codeine,127,127.0,1093,838.77,51.0,Opioid,2015
1003018748,Neurosurgery,Carisoprodol,21,21.0,183,84.16,,Muscle Relaxant,2015
1003018748,Neurosurgery,Cyclobenzaprine Hcl,18,18.0,304,88.25,,Muscle Relaxant,2015
1003018748,Neurosurgery,Gabapentin,68,72.0,2120,694.59,29.0,Gabapentinoid,2015
1003018748,Neurosurgery,Hydrocodone/Acetaminophen,330,330.7,6456,6607.04,183.0,Opioid,2015
1003018748,Neurosurgery,Meloxicam,76,76.0,2280,218.41,24.0,NSAID,2015
1003018748,Neurosurgery,Methocarbamol,77,77.0,1224,686.18,51.0,Muscle Relaxant,2015
1003018748,Neurosurgery,Oxycodone Hcl/Acetaminophen,98,98.0,1739,4122.13,52.0,Opioid,2015
1003018748,Neurosurgery,Tizanidine Hcl,138,138.0,1262,1132.36,57.0,Muscle Relaxant,2015
1003018748,Neurosurgery,Tramadol Hcl,86,87.0,1000,299.02,41.0,Opioid,2015
1003027392,Neurosurgery,Gabapentin,45,51.0,1424,448.83,27.0,Gabapentinoid,2015
1003027392,Neurosurgery,Hydrocodone/Acetaminophen,29,29.0,462,627.02,22.0,Opioid,2015
1003027392,Neurosurgery,Meloxicam,32,48.0,1363,137.32,23.0,NSAID,2015
1003027392,Neurosurgery,Methocarbamol,35,35.0,390,437.01,31.0,Muscle Relaxant,2015
1003027392,Neurosurgery,Oxycodone Hcl/Acetaminophen,108,108.0,1081,3045.92,89.0,Opioid,2015
1003027392,Neurosurgery,Tramadol Hcl,16,16.0,328,161.91,14.0,Opioid,2015
1003027905,Neurosurgery,Acetaminophen With Codeine,13,13.0,82,78.67,,Opioid,2015
1003033374,Neurosurgery,Gabapentin,15,19.0,570,134.65,,Gabapentinoid,2015
1003033374,Neurosurgery,Hydrocodone/Acetaminophen,11,11.0,190,230.09,,Opioid,2015
1003050493,Neurosurgery,Hydrocodone/Acetaminophen,24,24.0,204,376.23,19.0,Opioid,2015
1003059510,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,13,13.0,94,314.62,12.0,Opioid,2015
1003071010,Orthopedic Surgery,Cyclobenzaprine Hcl,41,42.0,1140,1084.59,24.0,Muscle Relaxant,2015
1003071010,Orthopedic Surgery,Gabapentin,30,30.1,891,257.17,18.0,Gabapentinoid,2015
1003071010,Orthopedic Surgery,Hydrocodone/Acetaminophen,11,11.0,119,287.14,11.0,Opioid,2015
1003071010,Orthopedic Surgery,Pregabalin,13,16.5,495,5125.96,11.0,Gabapentinoid,2015
1003071010,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,21,21.0,223,1238.77,17.0,Opioid,2015
1003071010,Orthopedic Surgery,Tramadol Hcl,45,45.3,1127,271.63,36.0,Opioid,2015
1003082017,Orthopedic Surgery,Hydrocodone/Acetaminophen,14,14.0,158,239.24,14.0,Opioid,2015
1003096736,Neurosurgery,Gabapentin,26,27.8,790,274.41,,Gabapentinoid,2015
1003096736,Neurosurgery,Oxycodone Hcl,27,27.0,513,1725.66,,Opioid,2015
1003800699,Neurosurgery,Cyclobenzaprine Hcl,13,13.0,260,143.66,12.0,Muscle Relaxant,2015
1003800699,Neurosurgery,Hydrocodone/Acetaminophen,14,14.0,176,349.1,13.0,Opioid,2015
1003800699,Neurosurgery,Oxycodone Hcl/Acetaminophen,17,17.0,194,962.13,15.0,Opioid,2015
1003805466,Neurosurgery,Gabapentin,11,14.1,414,80.99,,Gabapentinoid,2015
1003805466,Neurosurgery,Hydrocodone/Acetaminophen,40,40.0,453,780.34,34.0,Opioid,2015
1003805466,Neurosurgery,Oxycodone Hcl/Acetaminophen,40,40.0,445,1896.6,26.0,Opioid,2015
1003812264,Neurosurgery,Gabapentin,32,32.0,900,255.15,12.0,Gabapentinoid,2015
1003812264,Neurosurgery,Hydrocodone/Acetaminophen,71,71.0,472,1150.73,44.0,Opioid,2015
1003812264,Neurosurgery,Tramadol Hcl,74,74.0,560,300.4,48.0,Opioid,2015
1003814914,Neurosurgery,Gabapentin,20,20.0,473,157.51,,Gabapentinoid,2015
1003814914,Neurosurgery,Hydrocodone/Acetaminophen,29,29.0,304,408.01,23.0,Opioid,2015
1003814914,Neurosurgery,Tramadol Hcl,14,14.0,218,81.36,12.0,Opioid,2015
1003817404,Neurosurgery,Cyclobenzaprine Hcl,38,40.0,832,501.02,23.0,Muscle Relaxant,2015
1003817404,Neurosurgery,Hydrocodone/Acetaminophen,30,30.0,285,499.89,24.0,Opioid,2015
1003817404,Neurosurgery,Ibuprofen,67,73.0,1860,928.26,34.0,NSAID,2015
1003817404,Neurosurgery,Meloxicam,24,35.3,995,161.67,,NSAID,2015
1003817404,Neurosurgery,Naproxen,21,33.7,1010,202.87,,NSAID,2015
1003817404,Neurosurgery,Oxycodone Hcl/Acetaminophen,62,62.0,451,2876.53,41.0,Opioid,2015
1003817404,Neurosurgery,Tramadol Hcl,11,11.0,148,94.22,,Opioid,2015
1003817552,Orthopedic Surgery,Cyclobenzaprine Hcl,12,12.0,287,185.27,,Muscle Relaxant,2015
1003817552,Orthopedic Surgery,Gabapentin,22,22.1,663,366.44,12.0,Gabapentinoid,2015
1003817552,Orthopedic Surgery,Hydrocodone/Acetaminophen,56,56.8,509,804.94,39.0,Opioid,2015
