Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Drug_Category,Year
1003018748,Neurosurgery,Acetaminophen With Codeine,36,36.0,270,219.26,25.0,Opioid,2018
1003018748,Neurosurgery,Carisoprodol,13,13.0,367,102.01,,Muscle Relaxant,2018
1003018748,Neurosurgery,Gabapentin,44,49.0,1470,484.45,20.0,Gabapentinoid,2018
1003018748,Neurosurgery,Hydrocodone/Acetaminophen,234,234.0,1866,2361.46,137.0,Opioid,2018
1003018748,Neurosurgery,Meloxicam,58,66.0,1967,233.07,26.0,NSAID,2018
1003018748,Neurosurgery,Morphine Sulfate,12,12.0,360,427.8,,Opioid,2018
1003018748,Neurosurgery,Oxycodone Hcl,13,13.0,374,535.68,,Opioid,2018
1003018748,Neurosurgery,Oxycodone Hcl/Acetaminophen,31,31.0,238,461.5,20.0,Opioid,2018
1003018748,Neurosurgery,Tizanidine Hcl,148,148.0,1442,924.36,119.0,Muscle Relaxant,2018
1003018748,Neurosurgery,Tramadol Hcl,51,51.0,397,155.15,34.0,Opioid,2018
1003027392,Neurosurgery,Gabapentin,44,52.1,1553,369.65,24.0,Gabapentinoid,2018
1003027392,Neurosurgery,Hydrocodone/Acetaminophen,22,23.0,235,292.67,17.0,Opioid,2018
1003027392,Neurosurgery,Meloxicam,12,18.0,540,95.98,,NSAID,2018
1003027392,Neurosurgery,Methocarbamol,20,20.0,304,283.35,15.0,Muscle Relaxant,2018
1003027392,Neurosurgery,Oxycodone Hcl/Acetaminophen,78,79.8,647,1632.78,63.0,Opioid,2018
1003027392,Neurosurgery,Tramadol Hcl,15,15.0,406,151.55,14.0,Opioid,2018
1003027905,Neurosurgery,Acetaminophen With Codeine,55,55.0,383,359.52,32.0,Opioid,2018
1003027905,Neurosurgery,Hydrocodone/Acetaminophen,39,39.0,262,413.89,22.0,Opioid,2018
1003027905,Neurosurgery,Oxycodone Hcl/Acetaminophen,23,23.0,173,271.91,,Opioid,2018
1003027905,Neurosurgery,Tramadol Hcl,11,11.0,93,40.34,,Opioid,2018
1003041336,Neurosurgery,Oxycodone Hcl,16,16.0,129,233.52,,Opioid,2018
1003050493,Neurosurgery,Hydrocodone/Acetaminophen,76,76.0,734,1116.23,52.0,Opioid,2018
1003050493,Neurosurgery,Oxycodone Hcl/Acetaminophen,36,36.0,444,1060.58,17.0,Opioid,2018
1003059114,Neurosurgery,Hydrocodone/Acetaminophen,34,34.0,507,864.3,20.0,Opioid,2018
1003059510,Orthopedic Surgery,Cyclobenzaprine Hcl,38,38.0,605,274.26,27.0,Muscle Relaxant,2018
1003059510,Orthopedic Surgery,Gabapentin,18,18.0,400,151.66,,Gabapentinoid,2018
1003059510,Orthopedic Surgery,Hydrocodone/Acetaminophen,42,42.0,292,467.12,35.0,Opioid,2018
1003059510,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,34,34.0,232,413.22,27.0,Opioid,2018
1003071010,Orthopedic Surgery,Celecoxib,11,13.0,390,290.14,,NSAID,2018
1003071010,Orthopedic Surgery,Cyclobenzaprine Hcl,22,22.0,615,126.74,21.0,Muscle Relaxant,2018
