Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1720151855,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,90,90.0,1850,912.58,69.0,2022
1720151855,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,105,105.0,1115,1291.29,64.0,2022
1720151855,Neurosurgery,Ibuprofen,Ibuprofen,NSAID,29,29.0,560,206.12,25.0,2022
1720151855,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,14,14.0,282,147.95,13.0,2022
1720180946,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,27,27.0,160,138.0,18.0,2022
1720180946,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,50,62.0,1860,1156.35,14.0,2022
1720180946,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,36,36.0,186,310.01,29.0,2022
1720180946,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,12,12.0,61,151.6,,2022
1720213895,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,19,19.0,530,343.65,13.0,2022
1720213895,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,39,40.0,1140,571.38,21.0,2022
1720213895,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,21,21.0,162,214.13,13.0,2022
1720213895,Neurosurgery,Hydromorphone Hcl,Hydromorphone Hcl,Opioid,32,32.0,191,193.98,14.0,2022
1720213895,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,87,87.0,2565,1101.83,59.0,2022
1720213895,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,134,134.0,1053,1490.23,80.0,2022
1720213895,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,25,25.0,750,209.36,,2022
1720213895,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,23,23.0,690,386.49,19.0,2022
1720213895,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,39,39.0,390,186.45,23.0,2022
1720228331,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,11,13.0,370,94.54,,2022
1720228331,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,15,15.5,464,137.19,12.0,2022
1720228331,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,12,12.0,163,108.63,,2022
1720228331,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,33,35.0,990,307.74,16.0,2022
1720244304,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,27,27.0,418,130.27,,2022
1720244304,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,37,40.2,1137,550.47,11.0,2022
1720244304,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,12,12.0,360,248.39,,2022
1720244304,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,22,22.0,425,183.34,,2022
1720244304,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,23,23.0,270,86.25,14.0,2022
1720347834,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,36,36.0,347,489.92,24.0,2022
1720347834,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,18,23.0,680,287.92,13.0,2022
1720347834,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,69,89.0,2654,1082.01,28.0,2022
1720347834,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,52,52.0,464,778.44,29.0,2022
1720347834,Neurosurgery,Meloxicam,Meloxicam,NSAID,20,21.5,600,74.31,,2022
1720347834,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,29,29.0,800,557.53,12.0,2022
1720347834,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,17,17.0,138,44.09,12.0,2022
1720358971,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,26,26.0,277,122.98,14.0,2022
1720358971,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,11,11.0,322,111.8,,2022
1720358971,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,25,25.0,131,177.21,,2022
1720358971,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,15,15.0,86,139.43,11.0,2022
