metric,slope_per_year,r_squared,p_value,intercept,std_err,first_value,last_value,pct_change
Total Claims - Opioid,-50676.35151515152,0.31005958120981,0.09453363028693762,102652719.93333334,26726.59067648156,707906.0,341801.0,-51.71661209256596
Total Claims - Gabapentinoid,-87.3212121212124,8.34881585563106e-06,0.9936794208096942,306031.06666666723,10684.655108342247,151485.0,211067.0,39.33194705746443
Total Claims - Muscle Relaxant,3031.4242424242425,0.017734723356202593,0.7137983462638059,-6025329.933333333,7976.344677701829,113116.0,180212.0,59.31610028643163
Total Claims - NSAID,-1995.5696969696976,0.006969970365717593,0.8186411990128594,4132210.1333333347,8421.464692013178,135554.0,166415.0,22.766572731162487
Claims/Provider - Opioid,-9.859223551594251,0.14757037467801626,0.27308738395297183,20010.454971317155,8.377750029525595,190.297311827957,135.63531746031745,-28.72452261283548
Claims/Provider - Gabapentinoid,0.33222020542988695,0.0007863202337599265,0.9387076434044977,-620.0417714124791,4.18707277068004,59.71028774142688,86.39664347114204,44.69306168022402
Claims/Provider - Muscle Relaxant,0.4606758442407233,0.0018465920536401264,0.9061721582800818,-884.4107734003002,3.786723655567106,58.18724279835391,81.6177536231884,40.2674361217496
Claims/Provider - NSAID,-0.5930483848257463,0.0016998958378411557,0.9099629852176435,1259.327998991106,5.081179495649123,81.56077015643802,103.36335403726709,26.731704272790108
Prescriber Count - Opioid,-217.82424242424244,0.16525723859541203,0.24369938562114157,441957.9333333334,173.08415168033653,3720.0,2520.0,-32.25806451612903
Prescriber Count - Gabapentinoid,-88.80000000000001,0.0466336687064087,0.549032690345125,181044.00000000003,141.9541475265869,2537.0,2443.0,-3.705163579030351
Prescriber Count - Muscle Relaxant,-30.939393939393938,0.00889251762586596,0.7955430255408668,63881.066666666666,115.48213883258323,1944.0,2208.0,13.580246913580247
Prescriber Count - NSAID,-61.327272727272735,0.05234366489396118,0.5249116863237341,124963.00000000001,92.25757391620259,1662.0,1610.0,-3.1287605294825513
Avg Days Supply/Claim - Opioid,-0.9739730843520973,0.17341520770666885,0.231269455943544,1975.8424760873045,0.751799577029109,15.447307975917706,11.082703093320383,-28.254792934806023
Avg Days Supply/Claim - Gabapentinoid,-1.0024148416576613,0.03328048559443727,0.6139536453316726,2047.4705707408875,1.9101079412473974,33.72398587318877,34.21478014090312,1.4553269876220287
Avg Days Supply/Claim - Muscle Relaxant,-0.8771966382515162,0.05435145201244648,0.5168453898149633,1787.0964355276867,1.2936335481655261,23.393648997489304,22.342918340621047,-4.491520997776044
Avg Days Supply/Claim - NSAID,-0.830239125497503,0.022366781630145743,0.6800674910284326,1700.1475982718275,1.9406375411317938,32.93622467798811,35.24158879908662,6.999478973797599
Spine Surgeon Count (Part B),-160.08484848484846,0.05669721791056719,0.507671279384839,326073.0666666666,230.86065259864802,4198.0,3925.0,-6.5030967127203425
Pain Rx Prescriber Count,-181.47878787878787,0.09904361205219071,0.3757960276581065,368818.7333333333,193.51717952035506,3816.0,3103.0,-18.68448637316562
