Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Drug_Category,Year
1003018748,Neurosurgery,Acetaminophen With Codeine,100,100.0,801,621.06,49.0,Opioid,2016
1003018748,Neurosurgery,Carisoprodol,14,14.0,112,31.7,,Muscle Relaxant,2016
1003018748,Neurosurgery,Gabapentin,89,95.0,2850,679.89,36.0,Gabapentinoid,2016
1003018748,Neurosurgery,Hydrocodone/Acetaminophen,362,362.0,6404,6534.2,188.0,Opioid,2016
1003018748,Neurosurgery,Meloxicam,88,90.0,2700,247.98,32.0,NSAID,2016
1003018748,Neurosurgery,Methocarbamol,41,41.0,666,302.64,31.0,Muscle Relaxant,2016
1003018748,Neurosurgery,Oxycodone Hcl,14,14.0,405,656.53,,Opioid,2016
1003018748,Neurosurgery,Oxycodone Hcl/Acetaminophen,100,100.1,1693,3426.0,55.0,Opioid,2016
1003018748,Neurosurgery,Oxycodone Hcl,13,13.0,390,6246.76,,Opioid,2016
1003018748,Neurosurgery,Tizanidine Hcl,101,101.1,896,600.2,44.0,Muscle Relaxant,2016
1003018748,Neurosurgery,Tramadol Hcl,98,98.7,1118,376.17,39.0,Opioid,2016
1003027392,Neurosurgery,Gabapentin,56,63.2,1801,683.05,34.0,Gabapentinoid,2016
1003027392,Neurosurgery,Hydrocodone/Acetaminophen,21,21.0,321,477.4,19.0,Opioid,2016
1003027392,Neurosurgery,Meloxicam,40,80.0,2400,258.46,36.0,NSAID,2016
1003027392,Neurosurgery,Methocarbamol,38,38.0,477,410.97,32.0,Muscle Relaxant,2016
1003027392,Neurosurgery,Oxycodone Hcl/Acetaminophen,100,100.0,1078,2417.92,81.0,Opioid,2016
1003027392,Neurosurgery,Tramadol Hcl,28,28.0,606,208.22,21.0,Opioid,2016
1003027905,Neurosurgery,Acetaminophen With Codeine,23,23.0,274,209.02,18.0,Opioid,2016
1003027905,Neurosurgery,Hydrocodone/Acetaminophen,23,23.0,229,297.64,18.0,Opioid,2016
1003033374,Neurosurgery,Gabapentin,35,36.0,1080,312.55,,Gabapentinoid,2016
1003033374,Neurosurgery,Hydrocodone/Acetaminophen,45,45.0,1009,1358.19,30.0,Opioid,2016
1003033374,Neurosurgery,Oxycodone Hcl,28,28.0,723,923.58,,Opioid,2016
1003033374,Neurosurgery,Oxycodone Hcl/Acetaminophen,16,16.0,381,1574.92,,Opioid,2016
1003050493,Neurosurgery,Hydrocodone/Acetaminophen,84,84.0,834,1410.32,52.0,Opioid,2016
1003050493,Neurosurgery,Oxycodone Hcl/Acetaminophen,35,35.0,348,1225.47,18.0,Opioid,2016
1003071010,Orthopedic Surgery,Celecoxib,13,13.0,278,490.8,13.0,NSAID,2016
1003071010,Orthopedic Surgery,Cyclobenzaprine Hcl,34,34.0,955,461.6,30.0,Muscle Relaxant,2016
1003071010,Orthopedic Surgery,Gabapentin,82,82.0,2435,979.87,62.0,Gabapentinoid,2016
1003071010,Orthopedic Surgery,Hydrocodone/Acetaminophen,17,17.0,180,561.67,11.0,Opioid,2016
1003071010,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,42,42.0,384,1461.9,39.0,Opioid,2016
1003071010,Orthopedic Surgery,Tramadol Hcl,45,45.0,902,350.48,36.0,Opioid,2016
1003096736,Neurosurgery,Gabapentin,66,66.3,1735,742.04,19.0,Gabapentinoid,2016
1003096736,Neurosurgery,Oxycodone Hcl,43,43.0,1037,1692.3,14.0,Opioid,2016
1003096736,Neurosurgery,Tizanidine Hcl,16,16.0,355,295.79,,Muscle Relaxant,2016
1003098351,Orthopedic Surgery,Oxycodone Hcl,28,29.0,476,748.66,11.0,Opioid,2016
1003098351,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,12,12.0,177,404.45,,Opioid,2016
1003098351,Orthopedic Surgery,Tramadol Hcl,13,13.0,220,113.72,,Opioid,2016
1003800699,Neurosurgery,Cyclobenzaprine Hcl,21,21.0,375,84.92,17.0,Muscle Relaxant,2016
1003800699,Neurosurgery,Hydrocodone/Acetaminophen,18,18.0,197,398.83,18.0,Opioid,2016
1003800699,Neurosurgery,Oxycodone Hcl/Acetaminophen,23,23.0,224,1341.96,16.0,Opioid,2016
1003805466,Neurosurgery,Gabapentin,16,16.0,480,108.51,,Gabapentinoid,2016
1003805466,Neurosurgery,Hydrocodone/Acetaminophen,28,28.0,322,485.12,22.0,Opioid,2016
1003805466,Neurosurgery,Oxycodone Hcl/Acetaminophen,29,29.0,331,1294.2,24.0,Opioid,2016
1003805466,Neurosurgery,Tramadol Hcl,18,18.0,255,110.91,14.0,Opioid,2016
1003812264,Neurosurgery,Celecoxib,26,30.0,870,2103.17,13.0,NSAID,2016
1003812264,Neurosurgery,Gabapentin,22,22.0,660,272.72,11.0,Gabapentinoid,2016
1003812264,Neurosurgery,Hydrocodone/Acetaminophen,108,108.0,732,1718.97,57.0,Opioid,2016
1003812264,Neurosurgery,Tramadol Hcl,94,94.0,720,460.66,60.0,Opioid,2016
1003814716,Neurosurgery,Cyclobenzaprine Hcl,18,20.8,589,82.99,,Muscle Relaxant,2016
1003814716,Neurosurgery,Gabapentin,28,29.5,885,405.72,,Gabapentinoid,2016
1003814716,Neurosurgery,Hydrocodone/Acetaminophen,78,83.1,1980,1742.95,35.0,Opioid,2016
1003814716,Neurosurgery,Oxycodone Hcl/Acetaminophen,90,90.0,951,2349.9,54.0,Opioid,2016
1003814716,Neurosurgery,Tramadol Hcl,37,37.2,888,235.62,16.0,Opioid,2016
1003814914,Neurosurgery,Gabapentin,24,24.0,720,465.5,,Gabapentinoid,2016
1003814914,Neurosurgery,Hydrocodone/Acetaminophen,28,28.0,270,414.8,26.0,Opioid,2016
1003814914,Neurosurgery,Tramadol Hcl,13,13.0,195,103.93,,Opioid,2016
1003817404,Neurosurgery,Cyclobenzaprine Hcl,35,35.0,690,134.21,16.0,Muscle Relaxant,2016
1003817404,Neurosurgery,Hydrocodone/Acetaminophen,40,40.0,473,833.89,19.0,Opioid,2016
1003817404,Neurosurgery,Ibuprofen,56,64.0,1601,444.2,24.0,NSAID,2016
1003817404,Neurosurgery,Meloxicam,24,34.7,1040,130.02,,NSAID,2016
1003817404,Neurosurgery,Naproxen,54,68.0,2040,624.77,15.0,NSAID,2016
1003817404,Neurosurgery,Oxycodone Hcl/Acetaminophen,74,74.0,639,2667.62,33.0,Opioid,2016
1003817404,Neurosurgery,Tizanidine Hcl,34,34.0,642,659.41,15.0,Muscle Relaxant,2016
1003817404,Neurosurgery,Tramadol Hcl,12,12.0,180,135.13,,Opioid,2016
1003817602,Orthopedic Surgery,Hydrocodone/Acetaminophen,67,67.0,423,1367.83,50.0,Opioid,2016
1003817602,Orthopedic Surgery,Methocarbamol,15,15.0,251,129.0,14.0,Muscle Relaxant,2016
1003817602,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,67,67.0,503,2012.31,40.0,Opioid,2016
1003817602,Orthopedic Surgery,Tramadol Hcl,80,80.0,801,577.89,37.0,Opioid,2016
1003818790,Neurosurgery,Oxycodone Hcl/Acetaminophen,18,18.0,84,371.74,,Opioid,2016
1003819913,Neurosurgery,Acetaminophen With Codeine,46,46.0,306,776.06,30.0,Opioid,2016
1003819913,Neurosurgery,Celecoxib,11,11.0,330,548.66,,NSAID,2016
1003819913,Neurosurgery,Gabapentin,13,13.4,402,146.75,,Gabapentinoid,2016
1003819913,Neurosurgery,Hydrocodone/Acetaminophen,18,18.0,145,268.44,,Opioid,2016
1003819913,Neurosurgery,Tizanidine Hcl,19,19.0,248,1216.92,,Muscle Relaxant,2016
1003823170,Orthopedic Surgery,Hydrocodone/Acetaminophen,57,57.0,557,1147.1,49.0,Opioid,2016
1003823170,Orthopedic Surgery,Methocarbamol,16,19.0,489,95.86,13.0,Muscle Relaxant,2016
1003823170,Orthopedic Surgery,Naproxen,65,65.0,1597,337.96,31.0,NSAID,2016
1003823170,Orthopedic Surgery,Tramadol Hcl,27,27.0,266,135.83,24.0,Opioid,2016
1003834490,Orthopedic Surgery,Baclofen,13,13.0,320,138.1,,Muscle Relaxant,2016
1003834490,Orthopedic Surgery,Diclofenac Sodium,46,46.0,1380,577.53,28.0,NSAID,2016
1003834490,Orthopedic Surgery,Gabapentin,79,79.0,2340,925.81,33.0,Gabapentinoid,2016
1003834490,Orthopedic Surgery,Meloxicam,42,44.0,1320,126.95,22.0,NSAID,2016
1003834490,Orthopedic Surgery,Oxycodone Hcl,20,20.0,201,263.2,12.0,Opioid,2016
1003834490,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,49,49.0,468,527.09,26.0,Opioid,2016
1003834490,Orthopedic Surgery,Tramadol Hcl,62,62.0,784,285.57,29.0,Opioid,2016
1003834680,Neurosurgery,Gabapentin,23,24.4,702,131.95,,Gabapentinoid,2016
1003834680,Neurosurgery,Hydrocodone/Acetaminophen,56,56.1,877,1136.49,44.0,Opioid,2016
1003843681,Orthopedic Surgery,Acetaminophen With Codeine,29,29.0,506,593.18,11.0,Opioid,2016
1003843681,Orthopedic Surgery,Carisoprodol,21,21.0,630,244.08,,Muscle Relaxant,2016
1003843681,Orthopedic Surgery,Celecoxib,123,169.0,4930,18423.4,32.0,NSAID,2016
1003843681,Orthopedic Surgery,Cyclobenzaprine Hcl,89,90.0,2038,406.54,18.0,Muscle Relaxant,2016
1003843681,Orthopedic Surgery,Diclofenac Sodium,373,412.0,12329,6083.4,133.0,NSAID,2016
1003843681,Orthopedic Surgery,Gabapentin,286,353.8,10460,3121.42,76.0,Gabapentinoid,2016
1003843681,Orthopedic Surgery,Hydrocodone/Acetaminophen,437,438.0,12594,13209.81,96.0,Opioid,2016
1003843681,Orthopedic Surgery,Ibuprofen,22,44.0,1320,251.73,,NSAID,2016
1003843681,Orthopedic Surgery,Pregabalin,49,51.0,1513,23005.19,,Gabapentinoid,2016
1003843681,Orthopedic Surgery,Meloxicam,55,85.8,2570,202.85,19.0,NSAID,2016
1003843681,Orthopedic Surgery,Oxycodone Hcl,52,52.0,1236,1271.85,16.0,Opioid,2016
1003843681,Orthopedic Surgery,Oxycodone Hcl/Acetaminophen,148,148.3,4112,7712.07,44.0,Opioid,2016
1003843681,Orthopedic Surgery,Tramadol Hcl,570,601.5,11940,3769.91,162.0,Opioid,2016
1003843681,Orthopedic Surgery,Diclofenac Sodium,14,14.1,351,2173.43,,NSAID,2016
1003844523,Orthopedic Surgery,Celecoxib,23,23.0,690,762.7,,NSAID,2016
1003844523,Orthopedic Surgery,Cyclobenzaprine Hcl,35,35.0,1020,487.09,16.0,Muscle Relaxant,2016
1003844523,Orthopedic Surgery,Etodolac,21,21.0,630,808.94,,NSAID,2016
1003844523,Orthopedic Surgery,Gabapentin,35,35.0,1020,1035.15,,Gabapentinoid,2016
1003844523,Orthopedic Surgery,Hydrocodone/Acetaminophen,142,142.0,3639,3406.6,56.0,Opioid,2016
1003844523,Orthopedic Surgery,Ibuprofen,14,14.0,420,90.12,,NSAID,2016
1003844523,Orthopedic Surgery,Meloxicam,35,46.0,1368,189.7,15.0,NSAID,2016
1003844523,Orthopedic Surgery,Oxycodone Hcl,13,13.0,262,321.88,,Opioid,2016
