Prscrbr_NPI,Prscrbr_Type,Gnrc_Name,Brnd_Name,Drug_Category,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,Year
1710935887,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,61,61.0,411,227.44,51.0,2021
1710939889,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,39,52.0,1541,468.64,14.0,2021
1710939889,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,80,80.0,822,1058.96,47.0,2021
1710939889,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,68,72.0,1127,631.85,49.0,2021
1710939889,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,152,152.0,1327,1582.24,80.0,2021
1710939889,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,31,31.0,395,209.57,14.0,2021
1710939889,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,36,36.0,494,95.87,24.0,2021
1710961347,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,23,23.0,279,209.64,13.0,2021
1710961347,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,122,129.3,3525,1396.29,77.0,2021
1710961347,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,23,23.0,158,230.47,11.0,2021
1710961347,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,48,48.0,342,357.37,21.0,2021
1710963038,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,34,36.0,1070,834.26,,2021
1710963038,Neurosurgery,Carisoprodol,Carisoprodol,Muscle Relaxant,35,35.0,990,685.26,,2021
1710963038,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,40,41.0,1200,1005.67,,2021
1710963038,Neurosurgery,Diclofenac Sodium,Diclofenac Sodium,NSAID,12,12.0,302,523.68,,2021
1710963038,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,81,83.4,2487,1184.73,18.0,2021
1710963038,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,185,185.5,4848,6503.15,41.0,2021
1710963038,Neurosurgery,Meloxicam,Meloxicam,NSAID,15,15.0,450,88.46,,2021
1710963038,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,60,60.0,1769,1922.17,,2021
1710963038,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,128,128.0,3523,4005.24,20.0,2021
1710963038,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,24,24.0,720,631.31,,2021
1710963038,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,19,19.0,480,190.19,,2021
1710963038,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,19,19.0,311,122.71,,2021
1710979174,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,12,12.0,140,52.7,,2021
1710979174,Neurosurgery,Fentanyl,Fentanyl,Opioid,23,23.0,690,1152.32,,2021
1710979174,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,55,61.0,1815,414.95,16.0,2021
1710979174,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,83,83.0,1154,957.48,32.0,2021
1710979174,Neurosurgery,Meloxicam,Meloxicam,NSAID,12,20.0,580,44.57,,2021
1710979174,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,69,69.0,863,1514.82,32.0,2021
1710979174,Neurosurgery,Oxycodone Hcl,Oxycontin,Opioid,11,11.0,330,12667.73,,2021
1710979174,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,13,13.0,160,34.86,,2021
1710980545,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,16,16.0,81,152.86,,2021
1710980545,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,22,22.0,209,162.7,11.0,2021
1710980545,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,28,28.0,840,583.17,12.0,2021
1710980545,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,55,55.0,385,577.9,23.0,2021
1710980545,Neurosurgery,Meloxicam,Meloxicam,NSAID,63,149.0,4470,313.77,26.0,2021
1710980545,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,11,11.0,330,273.11,,2021
1710980545,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,13,13.0,126,115.18,,2021
1710995949,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,24,24.0,146,264.75,19.0,2021
1710995949,Neurosurgery,Meloxicam,Meloxicam,NSAID,101,106.3,3190,379.24,47.0,2021
1710995949,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,13,13.0,144,96.48,,2021
1710997135,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,33,43.0,1290,1245.45,,2021
1710997135,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,25,29.0,840,269.17,,2021
1710997135,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,32,32.0,237,323.59,30.0,2021
1710997135,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,67,67.0,965,364.8,38.0,2021
1710997135,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,15,15.0,139,131.9,,2021
1710997135,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,63,63.0,554,823.37,42.0,2021
1710997135,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,12,12.0,360,631.97,,2021
1710997135,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,11,11.0,85,25.35,,2021
1720030273,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,59,59.0,391,608.96,50.0,2021
1720030273,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,11,11.0,98,48.21,,2021
1720044415,Neurosurgery,Baclofen,Baclofen,Muscle Relaxant,59,75.0,2141,1975.17,24.0,2021
1720044415,Neurosurgery,Celecoxib,Celecoxib,NSAID,18,34.0,1020,194.83,,2021
1720044415,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,204,293.3,8749,2179.43,54.0,2021
1720044415,Neurosurgery,Ketorolac Tromethamine,Ketorolac Tromethamine,NSAID,11,11.0,55,210.42,,2021
1720044415,Neurosurgery,Meloxicam,Meloxicam,NSAID,119,176.0,5280,637.83,46.0,2021
1720044415,Neurosurgery,Naproxen,Naproxen,NSAID,35,36.0,1080,173.94,,2021
1720044415,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,91,109.0,2840,1057.85,35.0,2021
1720046295,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,101,153.4,4408,1069.33,33.0,2021
1720046295,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,34,34.0,225,197.77,29.0,2021
1720046295,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,12,12.0,88,65.48,,2021
1720046295,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,30,30.0,212,89.51,26.0,2021
1720060775,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,98,101.0,1816,802.47,84.0,2021
1720060775,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,21,33.0,956,352.98,11.0,2021
1720060775,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,147,147.0,1034,1691.16,130.0,2021
1720060775,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,11,12.0,186,127.68,11.0,2021
1720060775,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,11,11.0,80,155.07,11.0,2021
1720083926,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,50,59.0,1770,617.99,29.0,2021
1720083926,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,34,34.0,178,224.81,32.0,2021
1720083926,Neurosurgery,Meloxicam,Meloxicam,NSAID,34,52.0,1560,245.68,23.0,2021
1720083926,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,33,33.0,219,204.66,28.0,2021
1720098023,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,36,42.3,1097,522.05,17.0,2021
1720098023,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,80,80.0,512,813.4,66.0,2021
1720101827,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,35,46.1,1368,584.59,16.0,2021
1720101827,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,20,20.0,148,196.17,16.0,2021
1720101827,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,21,21.0,329,242.5,17.0,2021
1720101827,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,65,65.0,473,344.48,38.0,2021
1720151855,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,147,153.0,3448,1443.19,101.0,2021
1720151855,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,16,22.0,640,260.31,,2021
1720151855,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,111,111.0,1186,1506.42,77.0,2021
1720151855,Neurosurgery,Ibuprofen,Ibuprofen,NSAID,49,49.0,990,390.63,43.0,2021
1720151855,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,12,12.0,256,141.71,,2021
1720151855,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,11,11.0,110,167.2,,2021
1720151855,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,11,11.0,310,97.08,,2021
1720180946,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,15,15.0,89,59.21,11.0,2021
1720180946,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,25,27.0,810,310.42,,2021
1720180946,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,29,29.0,145,177.63,21.0,2021
1720213895,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,11,11.0,228,90.08,,2021
1720213895,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,51,54.0,1596,798.86,19.0,2021
1720213895,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,26,26.0,292,374.35,11.0,2021
1720213895,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,36,36.0,1023,430.02,23.0,2021
1720213895,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,64,64.0,624,658.55,30.0,2021
1720213895,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,47,47.0,463,958.63,20.0,2021
1720213895,Neurosurgery,Pregabalin,Pregabalin,Gabapentinoid,36,36.0,1080,1989.89,,2021
1720213895,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,88,90.0,2590,1249.04,60.0,2021
1720213895,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,17,17.0,183,83.55,11.0,2021
1720228331,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,14,14.5,415,230.92,,2021
1720228331,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,32,45.7,1355,326.57,16.0,2021
1720228331,Neurosurgery,Ibuprofen,Ibuprofen,NSAID,14,20.5,507,42.59,,2021
1720228331,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,45,45.0,493,297.89,34.0,2021
1720228331,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,61,65.0,1845,555.55,38.0,2021
1720272800,Neurosurgery,Oxycodone Hcl,Oxycodone Hcl,Opioid,12,12.0,142,107.19,,2021
1720272800,Neurosurgery,Tramadol Hcl,Tramadol Hcl,Opioid,11,11.0,99,49.48,,2021
1720345119,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,23,23.0,164,233.99,18.0,2021
1720345119,Neurosurgery,Cyclobenzaprine Hcl,Cyclobenzaprine Hcl,Muscle Relaxant,38,38.0,986,748.48,14.0,2021
1720345119,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,44,44.0,1163,324.6,13.0,2021
1720345119,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,52,52.0,294,579.33,37.0,2021
1720345119,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,62,65.0,1343,1019.62,33.0,2021
1720345119,Neurosurgery,Tizanidine Hcl,Tizanidine Hcl,Muscle Relaxant,11,11.5,311,191.35,,2021
1720347834,Neurosurgery,Acetaminophen With Codeine,Acetaminophen-Codeine,Opioid,41,41.0,314,487.48,28.0,2021
1720347834,Neurosurgery,Celecoxib,Celecoxib,NSAID,20,39.0,1145,942.33,13.0,2021
1720347834,Neurosurgery,Gabapentin,Gabapentin,Gabapentinoid,50,80.0,2385,845.64,23.0,2021
1720347834,Neurosurgery,Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,Opioid,32,32.0,233,449.73,24.0,2021
1720347834,Neurosurgery,Methocarbamol,Methocarbamol,Muscle Relaxant,25,26.0,710,484.59,,2021
1720347834,Neurosurgery,Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,Opioid,19,19.0,132,381.66,,2021
